id,uuid,image_url,latitude,longitude,place_county_name,place_state_name
231729492,0f576b2d-eedd-40fa-a8aa-32481169a740,https://static.inaturalist.org/photos/411609316/medium.jpeg,-21.0585038139,-65.48320355,Nor Chichas,Potosí
231831153,fa5d3ee4-a775-4dc7-9c1a-1de0b14c9573,https://static.inaturalist.org/photos/411801098/medium.jpeg,-21.0444276667,-65.4813826833,Nor Chichas,Potosí
231835083,0a5dc2ff-8a88-4b1e-991b-3566d4e0789f,https://static.inaturalist.org/photos/411808229/medium.jpeg,-21.0316394167,-65.4721626972,Nor Chichas,Potosí
232409992,cc3437e3-9f25-400c-8f24-d803970fb9da,https://static.inaturalist.org/photos/412893777/medium.jpeg,-21.0186267167,-65.4672862833,Nor Chichas,Potosí
232691960,e66f0c8e-e0a4-4abc-867c-1a84d132f959,https://static.inaturalist.org/photos/413433476/medium.jpeg,-21.0147562167,-65.4634013,Nor Chichas,Potosí
232700767,b58cbb25-81eb-4e4b-a126-1d0d7d04898b,https://static.inaturalist.org/photos/413449917/medium.jpeg,-21.0178296167,-65.4597334639,Nor Chichas,Potosí
232710749,e84fe080-691a-4c2b-828e-1812d3f71b26,https://static.inaturalist.org/photos/413468551/medium.jpeg,-21.0382286472,-65.4640824667,Nor Chichas,Potosí
234421113,066999be-edcd-47d1-aeb4-1a63a5b03318,https://inaturalist-open-data.s3.amazonaws.com/photos/416738761/medium.jpeg,-21.4641383333,-67.8476116667,Nor Lípez,Potosí
235128878,68a69aa2-f911-46f7-99ff-f7678e8062d1,https://static.inaturalist.org/photos/418259924/medium.jpeg,-21.2346397806,-65.4878070972,Sud Chichas,Potosí
235854648,3767c17f-8b76-4d3b-a5cc-66cf97ea6283,https://inaturalist-open-data.s3.amazonaws.com/photos/419513097/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
235854653,4bc60e55-a587-4abf-9211-9d32550af018,https://inaturalist-open-data.s3.amazonaws.com/photos/419513101/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
