id,user_name,license,image_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
137328020,Matías Guerrero Gatica,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/234519528/medium.jpg,-32.9828333333,-71.1298,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
137347081,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/234557362/medium.jpg,-28.1997083333,-71.1536861667,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
137371746,Altair.rana :P,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/234607359/medium.jpeg,-33.663304275,-70.3471302833,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
137442230,Nodora L. Moyano,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/234738345/medium.jpg,-33.6489133333,-70.3477783333,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
137586001,Paulette Palta,,https://static.inaturalist.org/photos/235009894/medium.jpg,-28.18923667,-71.14832217,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
137598235,Diego Almendras G.,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/235033927/medium.jpg,-30.0679583333,-70.7264166667,Elqui,Coquimbo,Cistanthe grandiflora,Pata de guanaco
137708704,Andrés Aguilar Velasco,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/235426733/medium.jpg,-28.6360033333,-70.6972283333,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
137749747,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/235320097/medium.jpg,-36.6727778,-73.1202778,Concepción,Bío-Bío,Cistanthe grandiflora,Pata de guanaco
137915671,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/235629265/medium.jpg,-28.184325,-71.149925,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
137973472,Sebastian Vanzulli Albrecht,,https://static.inaturalist.org/photos/236283378/medium.jpg,-33.4547972851,-70.8310404047,Maipo,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
138002834,Diego Andrés Ghigliotto Urzúa,,https://static.inaturalist.org/photos/235773119/medium.jpg,-33.4431104565,-71.6608369075,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138002867,Diego Andrés Ghigliotto Urzúa,,https://static.inaturalist.org/photos/235774968/medium.jpg,-33.4426322887,-71.660942842,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138002870,Diego Andrés Ghigliotto Urzúa,,https://static.inaturalist.org/photos/235775067/medium.jpg,-33.4426692979,-71.6611190518,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138029519,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/235842304/medium.jpeg,-33.4336995,-70.5203577,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
138060507,Josefina Ibáñez Blanco,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/235900752/medium.jpg,-33.442345,-71.66053,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138139356,Daniela Araneda,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236035260/medium.jpeg,-32.7473942485,-70.7614485965,Los Andes,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138217627,Elisabet Oyarce Acuña,,https://static.inaturalist.org/photos/236201899/medium.jpg,-33.4143852384,-70.4888973443,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
138219398,Paulo Muñoz,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236195978/medium.jpeg,-28.1817167913,-71.1613523867,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
138219415,Paulo Muñoz,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236196841/medium.jpeg,-28.1807357295,-71.1548213374,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
138219423,Paulo Muñoz,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236202802/medium.jpeg,-28.1807329058,-71.1519690999,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
138219436,Paulo Muñoz,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236203160/medium.jpeg,-28.1770749056,-71.1488304884,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
138251098,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236266989/medium.jpeg,-29.9397216177,-71.223888807,Elqui,Coquimbo,Cistanthe grandiflora,Pata de guanaco
138295095,Eric Rojas-Abarca,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236347547/medium.jpg,-33.551625,-71.6217033333,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138319004,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236390942/medium.jpg,-32.9792348746,-71.5199273872,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138328629,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236407992/medium.jpg,-27.9038075088,-70.9563441531,Copiapó,Atacama,Cistanthe grandiflora,Pata de guanaco
138429328,Biodiversidad El Quisco,CC-BY-NC-ND,https://static.inaturalist.org/photos/236600034/medium.jpg,-33.379875,-71.6951133333,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
138451436,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236644313/medium.jpg,-28.19018,-71.1469721667,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
138487728,Nicolás Villaseca Merino,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/236716845/medium.jpg,-28.5139473593,-70.9792296049,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
138497890,Benjamin Silva Ahumada,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236736269/medium.jpeg,-33.4339189579,-70.5080890283,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
138577045,Cesar Ormazabal,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/236882889/medium.jpg,-27.8932908534,-71.0798263549,Copiapó,Atacama,Cistanthe grandiflora,Pata de guanaco
